"year","powertrain","age","proportion","vmt","high_VMT_prop","n","l_100km","l_100kme","uf","weight_lbs","ev_range","batt_kwh"
2004,"icev",20,0.995001008902077,7617.8471357968,0.834375792506879,3464393.48356793,12.6879933463216,0,0,4325.03209059982,0,0
2004,"phev",20,0,7617.8471357968,0.834375792506879,0,NA,NA,NA,NA,NA,NA
2005,"bev",19,0,7620.49886368958,0.827397997373252,0,NA,NA,NA,NA,NA,NA
2005,"hev",19,0.0121174808711006,7620.49886368958,0.827397997373252,48180.9741404528,5.86946791339034,0,0,3316.1702326015,0,0
2005,"icev",19,0.987882519128899,7620.49886368958,0.827397997373252,3927973.36461828,12.6785584062566,0,0,4291.16798117313,0,0
2005,"phev",19,0,7620.49886368958,0.827397997373252,0,NA,NA,NA,NA,NA,NA
2006,"bev",18,0,7938.51892691385,0.833180459200919,0,NA,NA,NA,NA,NA,NA
2006,"hev",18,0.0153015795868773,7938.51892691385,0.833180459200919,61168.9713196159,6.88745043181562,0,0,4010.27050484594,0,0
2006,"icev",18,0.984698420413123,7938.51892691385,0.833180459200919,3936390.29844851,12.4135680871291,0,0,4302.62313145453,0,0
2006,"phev",18,0,7938.51892691385,0.833180459200919,0,NA,NA,NA,NA,NA,NA
2007,"bev",17,0,7912.47659230327,0.827173614619946,0,NA,NA,NA,NA,NA,NA
2007,"hev",17,0.0216309919901417,7912.47659230327,0.827173614619946,96344.5973283734,6.39817750475711,0,0,3573.90571270105,0,0
2007,"icev",17,0.978369008009858,7912.47659230327,0.827173614619946,4357662.75343401,11.9860226726984,0,0,4224.14170046841,0,0
2007,"phev",17,0,7912.47659230327,0.827173614619946,0,NA,NA,NA,NA,NA,NA
2008,"bev",16,0,8227.18760611762,0.821926564418532,0,0,2.40010204081633,0,1500,100,0
2008,"hev",16,0.0237415789473684,8227.18760611762,0.821926564418532,122415.191307576,6.47625598898594,0,0,3728.50534836658,0,0
2008,"icev",16,0.976258421052632,8227.18760611762,0.821926564418532,5033736.87334457,12.0848387630126,0,0,4172.43076622168,0,0
2008,"phev",16,0,8227.18760611762,0.821926564418532,0,NA,NA,NA,NA,NA,NA
2009,"bev",15,0,9190.59560466463,0.802774930845209,0,NA,NA,NA,NA,NA,NA
2009,"hev",15,0.027514028436019,9190.59560466463,0.802774930845209,121428.077044477,6.58318312934304,0,0,3650.91553259826,0,0
2009,"icev",15,0.972485971563981,9190.59560466463,0.802774930845209,4291887.01881092,11.3666525367479,0,0,4021.48837151954,0,0
2009,"phev",15,0,9190.59560466463,0.802774930845209,0,NA,NA,NA,NA,NA,NA
2010,"bev",14,0,9032.40449348282,0.801006612337156,0,NA,NA,NA,NA,NA,NA
2010,"hev",14,0.0236990249374407,9032.40449348282,0.801006612337156,135702.784363715,5.52021053237556,0,0,3420.74316568173,0,0
