"year","powertrain","l_100km","l_100kme","uf","weight_lbs","ev_range","batt_kwh","n_year_powertrain","n_year","mpg","mpge","proportion"
1992,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"icev",12.4152222400288,0,0,2879.23112128147,0,0,32775,32775,18.94529114764,NA,1
1993,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"icev",12.7031542054536,0,0,2892.86830042765,0,0,39051,39051,18.5158737897571,NA,1
1994,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1995,"icev",12.8322554455687,0,0,3024.34804786296,0,0,47051,47051,18.3295914734322,NA,1
1995,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1996,"icev",12.5400931524426,0,0,2823.79058267039,0,0,46510,46510,18.7566389771343,NA,1
1996,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1997,"icev",12.6317935269378,0,0,2968.35501540568,0,0,58420,58420,18.6204753504247,NA,1
1997,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1998,"icev",12.6617740447615,0,0,2790.24556194718,0,0,64668,64668,18.576385834125,NA,1
1998,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1999,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01190476190476e-06
1999,"icev",12.6277765722375,0,0,4185.76495095454,0,0,75848,75848,18.6263986105928,NA,0.999998988095238
1999,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2000,"hev",4.43792452830189,0,0,1500,0,0,35,92205,53,NA,0.000537047673750718
2000,"icev",12.4781923369196,0,0,4203.31561245525,0,0,92170,92205,18.8496854070823,NA,0.999462952326249
2000,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2001,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2001,"hev",5.60092719306223,0,0,2558.76288659794,0,0,97,99149,41.9948326218828,NA,0.00117576811594203
2001,"icev",12.7474974760367,0,0,4250.02422969753,0,0,99052,99149,18.4514647241278,NA,0.998824231884058
2001,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2002,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2002,"hev",5.67025097891211,0,0,2681.81818181818,0,0,132,109984,41.481409001957,NA,0.00214535714285714
2002,"icev",12.8732237292599,0,0,4276.74962677057,0,0,109852,109984,18.2712586176363,NA,0.997854642857143
2002,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2003,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2003,"hev",5.79640065028725,0,0,2763.25088339223,0,0,283,114154,40.5786304623963,NA,0.00285338932213557
2003,"icev",12.6725620152825,0,0,4285.53538653389,0,0,113871,114154,18.5605720229538,NA,0.997146610677864
2003,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2004,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2004,"hev",5.3677962531834,0,0,3119.03669724771,0,0,436,110730,43.8187272589767,NA,0.00499899109792285
2004,"icev",12.6974055439412,0,0,4330.13853881444,0,0,110294,110730,18.5242567220541,NA,0.995001008902077
2004,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2005,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2005,"hev",5.82723423401843,0,0,3313.09523809524,0,0,1260,118835,40.3639171782186,NA,0.0121174808711006
2005,"icev",12.6705102991597,0,0,4287.02870508186,0,0,117575,118835,18.5635775076556,NA,0.987882519128899
2005,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2006,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2006,"hev",6.88218466909418,0,0,4005.15132002576,0,0,1553,115723,34.1766475776591,NA,0.0153015795868773
2006,"icev",12.4191752207621,0,0,4302.52430585968,0,0,114170,115723,18.9392609266662,NA,0.984698420413123
2006,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2007,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2007,"hev",6.35936656105566,0,0,3572.72383830752,0,0,2647,124982,36.9863881475885,NA,0.0216309919901417
2007,"icev",11.9828160938817,0,0,4218.01365104018,0,0,122335,124982,19.6289418244595,NA,0.978369008009858
2007,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2008,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2008,"hev",6.51556688557797,0,0,3750.09120758847,0,0,2741,123292,36.0996984806696,NA,0.0237415789473684
2008,"icev",12.0861636954527,0,0,4174.55516752246,0,0,120551,123292,19.4610966661403,NA,0.976258421052632
2008,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2009,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2009,"hev",6.63125803813454,0,0,3672.42751563388,0,0,1759,86499,35.4698910293299,NA,0.027514028436019
2009,"icev",11.3610900500329,0,0,4017.11352371961,0,0,84740,86499,20.7031190637662,NA,0.972485971563981
2009,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2010,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2010,"hev",5.53703239321273,0,0,3423.18562874252,0,0,4175,104185,42.4794336201318,NA,0.0236990249374407
2010,"icev",11.1004055290438,0,0,4107.29127087291,0,0,100010,104185,21.189315956483,NA,0.976272844939166
2010,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.81301233928726e-05
2011,"bev",0,2.37585858585859,0,3300,73,0,97,115743,NA,98.9999999999998,0.000789794960087651
2011,"hev",5.82164269759807,0,0,3330.3738317757,0,0,2354,115743,40.4026856710125,NA,0.0210321646580059
2011,"icev",11.3733756484432,0,0,4235.4433062522,0,0,113240,115743,20.6807554125055,NA,0.977577711691971
2011,"phev",6.35702702702703,2.52913978494624,0.64,2800,35,0,52,115743,37,92.9999999999999,0.000600328689935827
2012,"bev",0,2.39469554669448,0,3360,82.6058823529412,0,170,122637,NA,98.2212541901923,0.00100641644818546
2012,"hev",5.71798349341387,0,0,3295.20624303233,0,0,3588,122637,41.1351309899585,NA,0.0299881330205602
2012,"icev",10.6958910178791,0,0,4087.4821794623,0,0,118543,122637,21.9906877890608,NA,0.966343383469022
2012,"phev",5.71167526544402,2.50773010799754,0.492107142857143,3008.03571428571,24.9107142857143,0,336,122637,41.1805624565239,93.793984946737,0.00266206706223265
