"ages","scrappage","lag1_scrappage","survival","freq","year"
0,0.0050439937512348,0,1,5.20670663241015,0
1,0.00608497576825045,0.0050439937512348,0.994956006248765,5.18044403669176,0
2,0.00734672987753495,0.00608497576825045,0.988901723060266,5.14892116025971,0
3,0.00887663141101644,0.00734672987753495,0.981636529225514,5.11109342733456,0
4,0.0107317970645939,0.00887663141101644,0.972922903575989,5.06572413487284,0
5,0.012980654235198,0.0107317970645939,0.962481692415316,5.01135981147217,0
6,0.0157044551954404,0.012980654235198,0.949988050358365,4.94630908251128,0
7,0.018998493729597,0.0157044551954404,0.935069005585308,4.86862999314218,0
8,0.0229726261292858,0.018998493729597,0.917304102945955,4.77613335674574,0
9,0.0277504870782867,0.0229726261292858,0.896231218742118,4.66641303079761,0
10,0.0334665305527027,0.0277504870782867,0.871360365887258,4.53691779628451,0
11,0.0402597508317312,0.0334665305527027,0.842198957579877,4.38508289824006,0
12,0.0482627290255069,0.0402597508317312,0.808292237396968,4.20854055338043,0
13,0.0575846442613234,0.0482627290255069,0.769281848170057,4.00542490105977,0
14,0.0682872727312543,0.0575846442613234,0.724983026606491,3.7747739330168,0
15,0.0803539603728854,0.0682872727312543,0.675475912943083,3.51700491595405,0
16,0.0936532096158856,0.0803539603728854,0.621198748201616,3.23439964230624,0
17,0.107900867533917,0.0936532096158856,0.563021491623165,2.93148773462379,0
18,0.122627907388459,0.107900867533917,0.502270984236785,2.61517766489284,0
19,0.137164475781094,0.122627907388459,0.440678544497886,2.294483900398,0
20,0.150654853147441,0.137164475781094,0.380233102953858,1.97976221901174,0
21,0.162119889280831,0.150654853147441,0.322949140666549,1.68150143263968,0
22,0.170577423801322,0.162119889280831,0.270592661738349,1.40889660655457,0
23,0.175210539744822,0.170577423801322,0.224435662599478,1.16857065300607,0
24,0.175541218778019,0.175210539744822,0.185112169017437,0.963824758162917,0
25,0.171544397143286,0.175541218778019,0.152617353257473,0.794633785426569,0
26,0.163651317765984,0.171544397143286,0.126436701399316,0.658318811755881,0
27,0.152641487496205,0.163651317765984,0.105745168601334,0.550584070701894,0
28,0.13947326740929,0.152641487496205,0.0896040687704893,0.466542099158241,0
29,0.125117583502783,0.13947326740929,0.0771066965259024,0.401471948204652,0
30,0.110437038538649,0.125117583502783,0.067459292984699,0.351240748201132,0
31,0.0961206975928388,0.110437038538649,0.0600092884455578,0.312450760155699,0
32,0.0826646216306476,0.0961206975928388,0.0542411537781209,0.282417775126121,0
33,0.0703826829516333,0.0826646216306476,0.0497573293242428,0.259071816603551,0
34,0.0594342582176198,0.0703826829516333,0.0462552749898946,0.240837647073839,0
35,0.0498590018602563,0.0594342582176198,0.0435061270322182,0.226523640169129,0
36,0.0416119451391523,0.0498590018602563,0.0413369549635863,0.215229397572544,0
37,0.0345946293446988,0.0416119451391523,0.0396168438614219,0.206273283688423,0
38,0.0286800801694928,0.0345946293446988,0.0382463138322292,0.199137335895508,0
39,0.0237311063249968,0.0286800801694928,0.0371494064853333,0.193426061137285,0
40,0.0196125288775261,0.0237311063249968,0.0362678099701194,0.188835846714411,0
41,0.0161985115089455,0.0196125288775261,0.0355565064997558,0.185132298217613,0
42,0.0133762908500894,0.0161985115089455,0.0349805440200016,0.182133430554257,0
43,0.0110474738406976,0.0133762908500894,0.0345126340890957,0.179697160813639,0
44,0.00912782596786474,0.0110474738406976,0.0341313566668228,0.177711961130303,0
45,0.00754621824303506,0.00912782596786474,0.0338198115831209,0.176089837276697,0
46,0.00624318093833527,0.00754621824303506,0.0335645999039764,0.174761024934227,0
47,0.00516934409502663,0.00624318093833527,0.033355050033653,0.173669960234593,0
48,0.00428392639366844,0.00516934409502663,0.0331826263027222,0.172772200451171,0
49,0.00355335569667661,0.00428392639366844,0.0330404743740928,0.172032057061566,0
50,1,0.00355335569667661,0.0329230698162547,0.171420765971596,0
