"age","production_year","powertrain","l_100km","l_100kme","uf","weight_lbs","ev_range","batt_kwh","n_year_powertrain","mpg","mpge","proportion","n_year","n","vmt","high_VMT_prop","vmt_bucket"
20,2004,"hev",5.3677962531834,0,0,3119.03669724771,0,0,436,43.8187272589767,NA,0.00499899109792285,5543334.21323288,13855.5391923812,13095.5815226697,0.806637621395568,"high"
20,2004,"icev",12.6974055439412,0,0,4330.13853881444,0,0,110294,18.5242567220541,NA,0.995001008902077,5543334.21323288,2757811.56742406,13095.5815226697,0.806637621395568,"high"
20,2004,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,5543334.21323288,0,13095.5815226697,0.806637621395568,"high"
21,2003,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4708204.0113911,0,12741.5892400334,0.80896961274057,"high"
21,2003,"hev",5.79640065028725,0,0,2763.25088339223,0,0,283,40.5786304623963,NA,0.00285338932213557,4708204.0113911,6717.16952626961,12741.5892400334,0.80896961274057,"high"
21,2003,"icev",12.6725620152825,0,0,4285.53538653389,0,0,113871,18.5605720229538,NA,0.997146610677864,4708204.0113911,2347384.83616928,12741.5892400334,0.80896961274057,"high"
21,2003,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4708204.0113911,0,12741.5892400334,0.80896961274057,"high"
22,2002,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3944910.49835282,0,12385.3378005119,0.811301604085572,"high"
22,2002,"hev",5.67025097891211,0,0,2681.81818181818,0,0,132,41.481409001957,NA,0.00214535714285714,3944910.49835282,4231.62095778667,12385.3378005119,0.811301604085572,"high"
22,2002,"icev",12.8732237292599,0,0,4276.74962677057,0,0,109852,18.2712586176363,NA,0.997854642857143,3944910.49835282,1968223.62821862,12385.3378005119,0.811301604085572,"high"
22,2002,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3944910.49835282,0,12385.3378005119,0.811301604085572,"high"
23,2001,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3271997.82841699,0,12026.8272041051,0.813633595430574,"high"
23,2001,"hev",5.60092719306223,0,0,2558.76288659794,0,0,97,41.9948326218828,NA,0.00117576811594203,3271997.82841699,1923.55536104213,12026.8272041051,0.813633595430574,"high"
