scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,vmt,current_or_disposed,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,vmt_old,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,icev,9.0,6344506.342155165,2016.0,high,23.383489513925,inf,10.0588066575748,0.0,0.0,0.0,17167.2746772514,current,,,,,,,,,,,,,,,,
default,0,phev,9.0,27117.49640142176,2016.0,high,33.5213189543538,77.9318854744584,7.01672867706331,3.01814845833658,23.6896551724138,0.0,17167.2746772514,current,,,,,,,,,,,,,,,,
default,0,bev,10.0,25834.25691515417,2015.0,high,inf,113.926160299392,0.0,2.0645828787864,83.2577319587629,0.0,16840.3922772387,current,,,,,,,,,,,,,,,,
default,0,hev,10.0,139742.8846980934,2015.0,high,42.0496489091601,inf,5.59362577576151,0.0,0.0,0.0,16840.3922772387,current,,,,,,,,,,,,,,,,
default,0,icev,10.0,6170490.6702008275,2015.0,high,22.7984946534656,inf,10.3169092334895,0.0,0.0,0.0,16840.3922772387,current,,,,,,,,,,,,,,,,
default,0,phev,10.0,15617.103495695497,2015.0,high,37.0996854509787,93.8056878585893,6.3399459359512,2.50741725122868,33.5,0.0,16840.3922772387,current,,,,,,,,,,,,,,,,
default,0,bev,11.0,23612.699647281413,2014.0,high,inf,113.57689520885,0.0,2.07093176448859,82.1234567901235,0.0,16511.2507203407,current,,,,,,,,,,,,,,,,
default,0,hev,11.0,168075.58638190536,2014.0,high,40.954647609399,inf,5.74318212290075,0.0,0.0,0.0,16511.2507203407,current,,,,,,,,,,,,,,,,
default,0,icev,11.0,5926851.173398206,2014.0,high,22.0727144209284,inf,10.6561429425728,0.0,0.0,0.0,16511.2507203407,current,,,,,,,,,,,,,,,,
default,0,phev,11.0,20576.595267604178,2014.0,high,37.94779522038,93.2881583280888,6.19825206270955,2.52132751053763,29.6917808219178,0.0,16511.2507203407,current,,,,,,,,,,,,,,,,
default,0,bev,12.0,18173.920540938107,2013.0,high,inf,112.262870096272,0.0,2.0951718034493,76.3167938931298,0.0,16179.8500065575,current,,,,,,,,,,,,,,,,
default,0,hev,12.0,187254.41250995456,2013.0,high,41.0875981426738,inf,5.72459843438037,0.0,0.0,0.0,16179.8500065575,current,,,,,,,,,,,,,,,,
default,0,icev,12.0,5668009.134750431,2013.0,high,22.35455413005,inf,10.5217933952805,0.0,0.0,0.0,16179.8500065575,current,,,,,,,,,,,,,,,,
default,0,phev,12.0,18519.30589824709,2013.0,high,39.2029976851387,94.7194926997402,5.999796288261,2.48322698207024,28.3201438848921,0.0,16179.8500065575,current,,,,,,,,,,,,,,,,
default,0,bev,13.0,5643.575703508691,2012.0,high,inf,98.2212541901923,0.0,2.39469554669448,82.6058823529412,0.0,15846.1901358889,current,,,,,,,,,,,,,,,,
default,0,hev,13.0,168161.3006360892,2012.0,high,41.1351309899585,inf,5.71798349341387,0.0,0.0,0.0,15846.1901358889,current,,,,,,,,,,,,,,,,
default,0,icev,13.0,5418862.191714872,2012.0,high,21.9906877890608,inf,10.6958910178791,0.0,0.0,0.0,15846.1901358889,current,,,,,,,,,,,,,,,,
default,0,phev,13.0,14927.793579500863,2012.0,high,41.1805624565239,93.793984946737,5.71167526544402,2.50773010799754,24.9107142857143,0.0,15846.1901358889,current,,,,,,,,,,,,,,,,
default,0,bev,14.0,4173.816400031033,2011.0,high,inf,98.9999999999998,0.0,2.37585858585859,73.0,0.0,15510.271108335,current,,,,,,,,,,,,,,,,
default,0,hev,14.0,111148.33369916184,2011.0,high,40.4026856710125,inf,5.82164269759807,0.0,0.0,0.0,15510.271108335,current,,,,,,,,,,,,,,,,
default,0,icev,14.0,5166188.810462825,2011.0,high,20.6807554125055,inf,11.3733756484432,0.0,0.0,0.0,15510.271108335,current,,,,,,,,,,,,,,,,
default,0,phev,14.0,3172.5471268963533,2011.0,high,37.0,92.9999999999999,6.35702702702703,2.52913978494624,35.0,0.0,15510.271108335,current,,,,,,,,,,,,,,,,
default,0,bev,15.0,0.0,2010.0,high,,,,,,,15172.0929238959,current,,,,,,,,,,,,,,,,
default,0,hev,15.0,116689.42205795729,2010.0,high,42.4794336201318,inf,5.53703239321273,0.0,0.0,0.0,15172.0929238959,current,,,,,,,,,,,,,,,,
default,0,icev,15.0,4806978.9515623525,2010.0,high,21.189315956483,inf,11.1004055290438,0.0,0.0,0.0,15172.0929238959,current,,,,,,,,,,,,,,,,
default,0,phev,15.0,138.5072951228262,2010.0,high,,,,,,,15172.0929238959,current,,,,,,,,,,,,,,,,
default,0,bev,16.0,0.0,2009.0,high,,,,,,,14831.6555825714,current,,,,,,,,,,,,,,,,
default,0,hev,16.0,124587.90927512528,2009.0,high,35.4698910293299,inf,6.63125803813454,0.0,0.0,0.0,14831.6555825714,current,,,,,,,,,,,,,,,,
default,0,icev,16.0,4403571.591789619,2009.0,high,20.7031190637662,inf,11.3610900500329,0.0,0.0,0.0,14831.6555825714,current,,,,,,,,,,,,,,,,
default,0,phev,16.0,0.0,2009.0,high,,,,,,,14831.6555825714,current,,,,,,,,,,,,,,,,
default,0,bev,17.0,0.0,2008.0,high,,,,,,,14488.9590843617,current,,,,,,,,,,,,,,,,
default,0,hev,17.0,97437.4064374433,2008.0,high,36.0996984806696,inf,6.51556688557797,0.0,0.0,0.0,14488.9590843617,current,,,,,,,,,,,,,,,,
default,0,icev,17.0,4006645.420296528,2008.0,high,19.4610966661403,inf,12.0861636954527,0.0,0.0,0.0,14488.9590843617,current,,,,,,,,,,,,,,,,
default,0,phev,17.0,0.0,2008.0,high,,,,,,,14488.9590843617,current,,,,,,,,,,,,,,,,
default,0,bev,18.0,0.0,2007.0,high,,,,,,,14144.0034292666,current,,,,,,,,,,,,,,,,
default,0,hev,18.0,79196.44192955572,2007.0,high,36.9863881475885,inf,6.35936656105566,0.0,0.0,0.0,14144.0034292666,current,,,,,,,,,,,,,,,,
default,0,icev,18.0,3582052.287007584,2007.0,high,19.6289418244595,inf,11.9828160938817,0.0,0.0,0.0,14144.0034292666,current,,,,,,,,,,,,,,,,
