scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,vmt,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,ghg_cost_x_n,vmt_old,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,hev,12.0,7855.058729856453,2013.0,high,,,,,,,,,,,,,,21994164.44359807,,,,,,,,,,
default,0,icev,12.0,237764.99596483822,2013.0,high,,,,,,,,,,,,,,665741988.701547,,,,,,,,,,
default,0,phev,12.0,776.858785419407,2013.0,high,,,,,,,,,,,,,,2175204.59917434,,,,,,,,,,
default,0,bev,13.0,286.1865065799491,2012.0,high,,,,,,,,,,,,,,801322.2184238575,,,,,,,,,,
default,0,hev,13.0,8527.482875982798,2012.0,high,,,,,,,,,,,,,,23876952.052751835,,,,,,,,,,
default,0,icev,13.0,274791.2532334576,2012.0,high,,,,,,,,,,,,,,769415509.0536814,,,,,,,,,,
default,0,phev,13.0,756.9904826133368,2012.0,high,,,,,,,,,,,,,,2119573.351317343,,,,,,,,,,
default,0,bev,14.0,255.03375978218736,2011.0,high,,,,,,,,,,,,,,714094.5273901246,,,,,,,,,,
default,0,hev,14.0,6791.524762951164,2011.0,high,,,,,,,,,,,,,,19016269.336263258,,,,,,,,,,
default,0,icev,14.0,315670.9423220447,2011.0,high,,,,,,,,,,,,,,883878638.5017251,,,,,,,,,,
default,0,phev,14.0,193.85294998901665,2011.0,high,,,,,,,,,,,,,,542788.2599692466,,,,,,,,,,
default,0,bev,15.0,0.0,2010.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,15.0,8552.424142515712,2010.0,high,,,,,,,,,,,,,,23946787.599043995,,,,,,,,,,
default,0,icev,15.0,352314.04966156714,2010.0,high,,,,,,,,,,,,,,986479339.052388,,,,,,,,,,
default,0,phev,15.0,10.151503999519802,2010.0,high,,,,,,,,,,,,,,28424.211198655445,,,,,,,,,,
default,0,bev,16.0,0.0,2009.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,16.0,10885.85329892471,2009.0,high,,,,,,,,,,,,,,30480389.23698919,,,,,,,,,,
default,0,icev,16.0,384761.5279720004,2009.0,high,,,,,,,,,,,,,,1077332278.3216012,,,,,,,,,,
default,0,phev,16.0,0.0,2009.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,bev,17.0,0.0,2008.0,high,,,,,,,,,,,,,,0.0,,,,,,,,,,
default,0,hev,17.0,10068.249799771706,2008.0,high,,,,,,,,,,,,,,28191099.439360775,,,,,,,,,,
default,0,icev,17.0,414008.4226949918,2008.0,high,,,,,,,,,,,,,,1159223583.545977,,,,,,,,,,
