scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,vmt_old,vmt,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,bev,1.0,652735.9484599597,2024.0,high,inf,87.1956775459669,0.0,2.69749609865701,290.058823529412,108.0356,,,,,,,19701.0042294821,19392.195084551713,0.0,0.0,285.69357530803904,1,1,0.0,0.14261372065655997,0.14261372065655997,1805202030.4216163
default,0,hev,1.0,725262.1649555119,2024.0,high,36.7953259692158,inf,6.39238799506178,0.0,0.0,0.0,,,,,,,19701.0042294821,19392.195084551713,0.0,1.0,,0,0,0.2416067738450713,0.0,0.2416067738450713,3398060444.525816
default,0,icev,1.0,5729571.103148538,2024.0,high,23.2491189654893,inf,10.116942510774,0.0,0.0,0.0,,,,,,,19701.0042294821,19392.195084551713,0.0,1.0,,0,0,0.3823800812923795,0.0,0.3823800812923795,42485853380.0648
default,0,phev,1.0,145052.43299110216,2024.0,high,26.2997583150968,65.825246959509,8.9434281935961,3.57324903231559,33.0833333333333,16.56425,,,,,,,19701.0042294821,19392.195084551713,0.0,1.0,29.509575904607352,0.5545995173928033,0.332759710435682,0.2255445127350006,0.0628629138258489,0.2884074265608495,811256946.5724833
default,0,bev,2.0,504594.27358779596,2023.0,high,inf,107.597729992654,0.0,2.1860126604535,280.396551724138,88.7110172413793,,,,,,,19392.1950845518,19081.126782736235,0.0,0.0,293.91776686690935,1,1,0.0,0.11557214079561898,0.11557214079561898,1112754842.072212
default,0,hev,2.0,540636.7217012097,2023.0,high,32.4151174269219,inf,7.25618225910389,0.0,0.0,0.0,,,,,,,19392.1950845518,19081.126782736235,0.0,1.0,,0,0,0.27425475227853224,0.0,0.27425475227853224,2829200459.2328067
default,0,icev,2.0,6037110.058996842,2023.0,high,21.678147801015,inf,10.850096703787,0.0,0.0,0.0,,,,,,,19392.1950845518,19081.126782736235,0.0,1.0,,0,0,0.41009038602383546,0.0,0.41009038602383546,47240305604.77286
default,0,phev,2.0,126148.56839694899,2023.0,high,25.8197932053176,63.4867550798595,9.10967791762013,3.70486725466015,30.4285714285714,7.24371428571428,,,,,,,19392.1950845518,19081.126782736235,0.0,1.0,16.02550840608408,0.5271564936764401,0.31629389620586407,0.23540650439748959,0.061953229182074715,0.2973597335795643,715761776.8003354
default,0,bev,3.0,407865.255450979,2022.0,high,inf,119.559496832513,0.0,1.967305034158,272.819694868239,70.5997808599168,,,,,,,19081.1267827362,18767.79932403531,0.0,0.0,268.2159801540936,1,1,0.0,0.10400930356390015,0.10400930356390015,796163475.9173133
default,0,hev,3.0,415020.78624836396,2022.0,high,37.6029773462178,inf,6.25508979872462,0.0,0.0,0.0,,,,,,,19081.1267827362,18767.79932403531,0.0,1.0,,0,0,0.2364174495585302,0.0,0.2364174495585302,1841461858.0728214
default,0,icev,3.0,6189534.139738539,2022.0,high,22.1385284812061,inf,10.624464051424,0.0,0.0,0.0,,,,,,,19081.1267827362,18767.79932403531,0.0,1.0,,0,0,0.40156237157076285,0.0,0.40156237157076285,46647065086.58692
default,0,phev,3.0,143110.61594771198,2022.0,high,29.9966418573819,73.7282119336307,7.84121106350167,3.19023062992133,28.2909090909091,3.07636363636364,,,,,,,19081.1267827362,18767.79932403531,0.0,1.0,13.628721816324118,0.5034888102915143,0.30209328617490855,0.20683617570938923,0.05095228194266406,0.25778845765205327,692386625.3558233
default,0,bev,4.0,216985.58393010928,2021.0,high,inf,106.523586478021,0.0,2.20805558446467,292.919708029197,85.4994335766423,,,,,,,18767.7993240353,18452.21270844908,0.0,0.0,282.23282757932947,1,1,0.0,0.11673752650607361,0.11673752650607361,467401197.26092726
default,0,hev,4.0,377361.63315851876,2021.0,high,39.2785918458378,inf,5.98824929679663,0.0,0.0,0.0,,,,,,,18767.7993240353,18452.21270844908,0.0,1.0,,0,0,0.22633194272574308,0.0,0.22633194272574308,1575984879.1642127
default,0,icev,4.0,6415743.3303831145,2021.0,high,22.4711099108688,inf,10.4672177268037,0.0,0.0,0.0,,,,,,,18767.7993240353,18452.21270844908,0.0,1.0,,0,0,0.3956190875867727,0.0,0.3956190875867727,46835231416.79295
default,0,phev,4.0,81923.24429127817,2021.0,high,27.4947712128608,66.9406444010525,8.55471748351844,3.51370982613818,24.9740932642487,0.0,,,,,,,18767.7993240353,18452.21270844908,0.0,1.0,7.244476530537323,0.4637484327648205,0.2782490596588923,0.23336676671930862,0.05168923249149094,0.28505599921079955,430909213.94147813
default,0,bev,5.0,114982.73289654961,2020.0,high,inf,115.014301311525,0.0,2.04505002697808,283.56338028169,82.8950356807512,,,,,,,18452.2127084491,18134.366935977563,0.0,0.0,295.5189843880877,1,1,0.0,0.10811959780825903,0.10811959780825903,225444397.58457822
default,0,hev,5.0,219354.60430550046,2020.0,high,42.7534712999017,inf,5.50154157893,0.0,0.0,0.0,,,,,,,18452.2127084491,18134.366935977563,0.0,1.0,,0,0,0.20793633194459327,0.0,0.20793633194459327,827140969.3705354
default,0,icev,5.0,6648282.913428875,2020.0,high,23.1475946312545,inf,10.1613149766504,0.0,0.0,0.0,,,,,,,18452.2127084491,18134.366935977563,0.0,1.0,,0,0,0.3840571835484144,0.0,0.3840571835484144,46302856494.92566
default,0,phev,5.0,33283.48588821088,2020.0,high,34.4685075371038,86.1250863738816,6.82391019532271,2.73102774003522,26.8173076923077,0.0,,,,,,,18452.2127084491,18134.366935977563,0.0,1.0,13.393090182829052,0.4863030647987798,0.2917818388792679,0.18266121460541582,0.04212935921206474,0.22479057381748055,135677958.45437437
default,0,bev,6.0,94916.36295170667,2019.0,high,inf,111.100398167494,0.0,2.11709412278972,248.411940298507,0.0,,,,,,,18134.3669359776,17814.2620066209,0.0,0.0,45.88371729136718,1,1,0.0,0.11192849175259166,0.11192849175259166,189255964.5439946
default,0,hev,6.0,162148.00866848166,2019.0,high,41.6368592488853,inf,5.64908122858226,0.0,0.0,0.0,,,,,,,18134.3669359776,17814.2620066209,0.0,1.0,,0,0,0.21351274232429054,0.0,0.21351274232429054,616741614.8471158
default,0,icev,6.0,6632942.838561836,2019.0,high,23.5660388047353,inf,9.98088825826501,0.0,0.0,0.0,,,,,,,18134.3669359776,17814.2620066209,0.0,1.0,,0,0,0.3772377731217886,0.0,0.3772377731217886,44574785569.076164
default,0,phev,6.0,34825.50698390184,2019.0,high,35.9558724423648,91.568252917348,6.5416296149406,2.56868502462646,41.5731707317073,0.0,,,,,,,18134.3669359776,17814.2620066209,0.0,1.0,15.137625060010034,0.6297038617380586,0.37782231704283514,0.15383188407833315,0.051309637450040815,0.20514152152837395,127267893.35544127
default,0,bev,7.0,81524.46680777741,2018.0,high,inf,116.495954852297,0.0,2.01904006279203,251.604166666667,0.0,,,,,,,17814.2620066208,17491.897920378782,0.0,0.0,47.45551309588719,1,1,0.0,0.10674447894578383,0.10674447894578383,152219511.16777933
default,0,hev,7.0,133110.0651581356,2018.0,high,40.8139557763628,inf,5.76297973391299,0.0,0.0,0.0,,,,,,,17814.2620066208,17491.897920378782,0.0,1.0,,0,0,0.21781765160701722,0.0,0.21781765160701722,507155222.02251464
default,0,icev,7.0,6552672.235353534,2018.0,high,22.9711380222186,inf,10.2393708040279,0.0,0.0,0.0,,,,,,,17814.2620066208,17491.897920378782,0.0,1.0,,0,0,0.38700738254244255,0.0,0.38700738254244255,44358272955.82153
default,0,phev,7.0,48775.22443301002,2018.0,high,35.3533030611021,90.9202934231324,6.65312657189286,2.58699121114095,40.6604361370716,0.0,,,,,,,17814.2620066208,17491.897920378782,0.0,1.0,14.929954042113938,0.6224605749429357,0.37347634496576143,0.15754667346437043,0.05108089973861776,0.2086275732029882,177995046.75182936
default,0,bev,8.0,40546.76944299407,2017.0,high,inf,114.145797967178,0.0,2.06061023873724,174.819047619048,0.0,,,,,,,17491.8979203788,17167.27467725137,0.0,0.0,46.77088184321252,1,1,0.0,0.10894224948671088,0.10894224948671088,75832251.75048521
default,0,hev,8.0,140812.97323341953,2017.0,high,41.3883263160553,inf,5.6830034199464,0.0,0.0,0.0,,,,,,,17491.8979203788,17167.27467725137,0.0,1.0,,0,0,0.21479486587867663,0.0,0.21479486587867663,519239736.6735856
default,0,icev,8.0,6469840.937410706,2017.0,high,23.075684501351,inf,10.1929804069834,0.0,0.0,0.0,,,,,,,17491.8979203788,17167.27467725137,0.0,1.0,,0,0,0.3852540105356148,0.0,0.3852540105356148,42789984381.35668
default,0,phev,8.0,35386.01751383183,2017.0,high,39.5625212043007,95.6894217556573,5.94527327480917,2.45805644641273,32.5089058524173,0.0,,,,,,,17491.8979203788,17167.27467725137,0.0,1.0,16.458459672688168,0.5488367183294243,0.32930203099765454,0.15071094467515103,0.04279438072602872,0.19350532540117976,117550901.9258379
default,0,bev,9.0,32269.020791544463,2016.0,high,inf,113.241129328297,0.0,2.0770721856553,84.1923076923077,0.0,,,,,,,17167.2746772514,16840.39227723866,0.0,0.0,46.50734010801418,1,1,0.0,0.10981257493422608,0.10981257493422608,59674675.45289755
default,0,hev,9.0,129085.38463300937,2016.0,high,41.2633086913369,inf,5.70022151542543,0.0,0.0,0.0,,,,,,,17167.2746772514,16840.39227723866,0.0,1.0,,0,0,0.21544564122329887,0.0,0.21544564122329887,468346187.1240528
default,0,icev,9.0,6344506.342155165,2016.0,high,23.383489513925,inf,10.0588066575748,0.0,0.0,0.0,,,,,,,17167.2746772514,16840.39227723866,0.0,1.0,,0,0,0.38018277788291416,0.0,0.38018277788291416,40620239446.44582
default,0,phev,9.0,27117.49640142176,2016.0,high,33.5213189543538,77.9318854744584,7.01672867706331,3.01814845833658,23.6896551724138,0.0,,,,,,,17167.2746772514,16840.39227723866,0.0,1.0,10.767169294563917,0.4473018042055804,0.26838108252334825,0.1940285280905593,0.0428245673152153,0.2368530954057746,108163531.82861294
default,0,bev,10.0,25834.25691515417,2015.0,high,inf,113.926160299392,0.0,2.0645828787864,83.2577319587629,0.0,,,,,,,16840.3922772387,16511.250720340675,0.0,0.0,46.70689853529678,1,1,0.0,0.10915227869806797,0.10915227869806797,46559547.723933235
default,0,hev,10.0,139742.8846980934,2015.0,high,42.0496489091601,inf,5.59362577576151,0.0,0.0,0.0,,,,,,,16840.3922772387,16511.250720340675,0.0,1.0,,0,0,0.2114167473598906,0.0,0.2114167473598906,487808162.59364325
default,0,icev,10.0,6170490.6702008275,2015.0,high,22.7984946534656,inf,10.3169092334895,0.0,0.0,0.0,,,,,,,16840.3922772387,16511.250720340675,0.0,1.0,,0,0,0.38993802595859683,0.0,0.38993802595859683,39727868152.630226
default,0,phev,10.0,15617.103495695497,2015.0,high,37.0996854509787,93.8056878585893,6.3399459359512,2.50741725122868,33.5,0.0,,,,,,,16840.3922772387,16511.250720340675,0.0,1.0,15.854722958677868,0.5587209835572875,0.3352325901343725,0.15929467330698155,0.044439926013678875,0.20373459932066043,52534578.249115676
default,0,bev,11.0,23612.699647281413,2014.0,high,inf,113.57689520885,0.0,2.07093176448859,82.1234567901235,0.0,,,,,,,16511.2507203407,16179.850006557523,0.0,0.0,46.60515307397572,1,1,0.0,0.1094879374641598,0.1094879374641598,41829859.779371895
default,0,hev,11.0,168075.58638190536,2014.0,high,40.954647609399,inf,5.74318212290075,0.0,0.0,0.0,,,,,,,16511.2507203407,16179.850006557523,0.0,1.0,,0,0,0.2170693808621556,0.0,0.2170693808621556,590306674.6384606
default,0,icev,11.0,5926851.173398206,2014.0,high,22.0727144209284,inf,10.6561429425728,0.0,0.0,0.0,,,,,,,16511.2507203407,16179.850006557523,0.0,1.0,,0,0,0.4027597073231231,0.0,0.4027597073231231,38622868886.166176
