"age","low","high","vmt","high_VMT_prop","vmt_partial"
0,6221.44498309656,19701.0042294821,12961.2246062893,0.759997794495527,10251.6491306986
1,6045.8704938125,19392.1950845518,12719.0327891821,0.762329785840529,10102.8204098199
2,5872.55516141374,19081.1267827362,12476.840972075,0.764661777185531,9951.5793554334
3,5701.49898590028,18767.7993240353,12234.6491549678,0.766993768530533,9797.63940432374
4,5532.70196727211,18452.2127084491,11992.4573378606,0.769325759875535,9640.67230215077
5,5366.16410552925,18134.3669359776,11750.2655207534,0.771657751220537,9480.30135599533
6,5201.88540067167,17814.2620066208,11508.0737036463,0.773989742565539,9316.0937211753
7,5039.8658526994,17491.8979203788,11265.8818865391,0.776321733910541,9147.55175645398
8,4880.10546161242,17167.2746772514,11023.6900694319,0.778653725255543,8974.10364318152
9,4722.60422741074,16840.3922772387,10781.4982523247,0.780985716600545,8795.0937561216
10,4567.36215009436,16511.2507203407,10539.3064352175,0.783317707945548,8609.77377823623
11,4414.37922966327,16179.8500065575,10297.1146181104,0.78564969929055,8417.29638862597
12,4263.65546611748,15846.1901358889,10054.9228010032,0.787981690635552,8216.71468509952
13,4115.19085945699,15510.271108335,9812.73098389601,0.790313681980554,8006.99251890332
14,3968.98540968179,15172.0929238959,9570.53916678883,0.792645673325556,7787.03375714414
15,3825.0391167919,14831.6555825714,9328.34734968166,0.794977664670558,7555.7420320151
16,3683.35198078729,14488.9590843617,9086.15553257448,0.79730965601556,7312.12597675453
17,3543.92400166799,14144.0034292666,8843.9637154673,0.799641647360562,7055.46603832219
18,3406.75517943398,13796.7886172863,8601.77189836012,0.801973638705564,6785.553138807
19,3271.84551408527,13447.3146484206,8359.58008125295,0.804305630050566,6502.98986406263
20,3139.19500562186,13095.5815226697,8117.38826414577,0.806637621395568,6209.50555414134
21,3008.80365404374,12741.5892400334,7875.19644703859,0.80896961274057,5908.18197389922
22,2880.67145935092,12385.3378005119,7633.00462993141,0.811301604085572,5603.44393108074
23,2754.7984215434,12026.8272041051,7390.81281282423,0.813633595430574,5300.69132539973
24,2631.18454062117,11666.0574508129,7148.62099571706,0.815965586775576,5005.57488495583
25,2509.82981658425,11303.0285406355,6906.42917860988,0.818297578120578,4723.10723304265
26,2390.73424943261,10937.7404735728,6664.2373615027,0.82062956946558,4456.92137431026
27,2273.89783916628,10570.1932496248,6422.04554439552,0.822961560810582,4208.92636071413
28,2159.32058578524,10200.3868687914,6179.85372728834,0.825293552155584,3979.40367689199
29,2047.0024892895,9828.32133107283,5937.66191018117,0.827625543500586,3767.39806995444
30,1936.94354967906,9453.99663646892,5695.47009307399,0.829957534845588,3571.19754363999
31,1829.14376695391,9077.41278497971,5453.27827596681,0.83228952619059,3388.75264599954
32,1723.60314111406,8698.5697766052,5211.08645885963,0.834621517535592,3217.97346354017
33,1620.32167215951,8317.4676113454,4968.89464175245,0.836953508880594,3056.90625829723
34,1519.29936009026,7934.1062892003,4726.70282464528,0.839285500225596,2903.81889940391
35,1420.5362049063,7548.4858101699,4484.5110075381,0.841617491570598,2757.22737614601
36,1324.03220660764,7160.6061742542,4242.31919043092,0.8439494829156,2615.88887292136
37,1229.78736519427,6770.46738145321,4000.12737332374,0.846281474260602,2478.77847909418
38,1137.8016806662,6378.06943176693,3757.93555621657,0.848613465605604,2345.05981297617
39,1048.07515302343,5983.41232519534,3515.74373910939,0.850945456950606,2214.05520788643
40,960.607782265961,5586.49606173846,3273.55192200221,0.853277448295608,2085.21824107288
41,875.399568393784,5187.32064139628,3031.36010489503,0.85560943964061,1958.10972963201
42,792.450511406905,4785.8860641688,2789.16828778785,0.857941430985612,1832.37742106541
43,711.760611305323,4382.19233005603,2546.97647068068,0.860273422330614,1707.73916072712
44,633.329868089038,3976.23943905796,2304.7846535735,0.862605413675616,1583.96912866388
45,557.158281758049,3568.02739117459,2062.59283646632,0.864937405020618,1460.88668635021
46,483.245852312358,3157.55618640593,1820.40101935914,0.86726939636562,1338.34739095183
47,411.592579751964,2744.82582475196,1578.20920225196,0.869601387710622,1216.23578242904
48,342.198464076866,2329.83630621271,1336.01738514479,0.871933379055624,1094.45960621364
49,275.063505287066,1912.58763078815,1093.82556803761,0.874265370400626,972.945190832043
50,210.187703382563,1493.0797984783,851.63375093043,0.876597361745628,851.63375093043
